timestamp,attentionct_unfiltered,au01ct_linear_causal,au02ct_nonlinear_causal,au04ct_nonlinear_causal,au09ct_linear_causal,au10ct_linear_causal,au15ct_linear_causal,au17ct_nonlinear_causal,au18ct_linear_causal,au24ct_linear_causal,au25ct_nonlinear_causal,au28ct_linear_causal,eye_closurect_nonlinear_causal,smilect_nonlinear_causal,smirkct_nonlinear_causal,joyct_emotion_nonlinear_causal,disgustct_emotion_nonlinear_causal,sadnessct_emotion_nonlinear_causal,angerct_emotion_nonlinear_causal,surprisect_emotion_nonlinear_causal,contemptct_emotion_nonlinear_causal,fearct_emotion_nonlinear_causal,valencect_nonlinear_causal,expressivenessct_nonlinear_causal,Entropy,HeadAngleLeftRight,HeadAngleRoll,HeadAngleUpDown,HighFreqPower,InterOcularDistance,MeanFaceLuminance,MeanFaceLuminanceDiffLR,VarianceFaceLuminance
0,98.7596588,0.047582276,0.252774149,0.093905054,5.28E-06,0.00011342,0.000686374,10.8273525,0.215837985,0.096298985,0.002755981,0.971047938,2.75E-05,7.52E-10,0.091125004,0.001808542,0.415193558,0.022810964,0.007085563,0.194088757,0.194886506,0.004600803,0,0.174123228,2.14869881,0.113480754,3.45248461,-7.62450504,279.298035,193.170105,116.220161,15.8462458,1706.03455
71.4285736,98.6048355,0.059409514,0.264828026,0.151004314,5.25E-06,7.47E-05,0.000655565,18.8879337,0.252810955,0.132915795,0.002330899,1.11465466,3.02E-05,9.57E-10,0.207517251,0.001804439,0.408787102,0.022277882,0.009848071,0.193535343,0.197519422,0.004618175,0,0.311121523,2.15006685,-0.708476186,2.78407907,-6.77662373,268.533997,191.936462,116.235489,16.1425629,1727.92517
142.857147,98.5981598,0.056885812,0.322954476,0.135297969,6.71E-06,6.80E-05,0.000884734,24.6900444,0.354214549,0.12744616,0.002449888,0.996545792,7.62E-05,8.32E-10,0.171438977,0.00180194,0.409023792,0.022166451,0.012145679,0.194276556,0.196706578,0.004621513,0,0.470844597,2.15138459,-0.73364383,2.77826262,-7.25314236,276.641327,192.260712,116.310196,16.1016388,1727.31543
214.285721,98.5981674,0.067384638,0.266160727,0.145872027,1.12E-05,7.08E-05,0.000866077,28.9177818,0.692795753,0.14561142,0.002688776,0.780952215,3.88E-05,9.53E-10,0.130308539,0.001804675,0.414206088,0.022237526,0.014240768,0.193618059,0.195888489,0.004616927,0,0.634510219,2.15372944,-0.335461617,2.73627305,-6.12609577,299.97522,191.699875,116.520958,15.9715548,1715.37598
285.714294,98.5039444,0.079687856,0.281986535,0.165419236,1.64E-05,7.60E-05,0.00068022,35.0034676,0.97795701,0.183135554,0.002230657,0.707968116,0.000101506,1.29E-09,0.116214365,0.001802573,0.415611029,0.021683468,0.018269114,0.193548813,0.195667386,0.004624876,0,0.973572969,2.15399194,-1.0023365,2.33449459,-6.3922205,302.951996,191.51825,116.738991,16.098587,1718.42566
357.142853,98.7762375,0.093921624,0.238033995,0.228056431,1.41E-05,8.39E-05,0.000629951,42.087677,0.725933373,0.228689522,0.002087442,0.676900089,3.05E-05,1.60E-09,0.125579178,0.001801466,0.416093737,0.021207303,0.02461111,0.192411676,0.196091518,0.00463648,0,1.60928988,2.15211678,0.045259714,3.19599199,-6.84812212,328.515656,190.974731,116.977463,15.6681633,1702.24756
428.571442,98.6309204,0.092156537,0.213045478,0.328765064,1.36E-05,8.55E-05,0.000703764,42.6881371,0.586690426,0.292776942,0.002051624,0.7085343,5.73E-05,1.79E-09,0.147472233,0.001797006,0.415027231,0.020270199,0.026778266,0.191007525,0.196918398,0.004660776,0,1.67990339,2.15819192,-0.612290859,2.66938114,-6.04673624,322.161591,190.7229,116.089066,16.4380913,1770.59863
500,98.6886139,0.097434484,0.202013195,0.420617849,1.39E-05,9.75E-05,0.000726292,42.980587,0.492801666,0.337900698,0.002064606,0.696862042,2.75E-05,2.03E-09,0.174035057,0.00179226,0.413701355,0.019690134,0.02851126,0.189854413,0.197813511,0.004684936,0,1.76482868,2.15748501,-0.395409822,2.77725029,-5.76825142,322.72583,191.808624,116.170952,16.2864037,1753.53101
571.428589,98.6620941,0.105234176,0.225953117,0.451483011,2.29E-05,0.000108479,0.00071255,52.7755775,0.564586639,0.53887856,0.001881926,0.710462332,0.000130436,2.29E-09,0.176939845,0.001789042,0.412126362,0.01887954,0.042711243,0.189733818,0.19798848,0.004697086,0,3.47039795,2.15299392,-0.491676331,2.84991741,-6.03570557,316.50177,192.127441,116.446625,16.2282829,1726.71155
642.857117,98.7471924,0.105943769,0.242792636,0.452046543,2.49E-05,0.000116678,0.000714542,60.2263603,0.515462101,0.534145474,0.001879586,0.683173418,0.000155175,2.41E-09,0.177962273,0.001788023,0.413331687,0.01839049,0.057176054,0.189889833,0.198012054,0.004699687,0,5.68701792,2.15404105,-0.163978815,3.29509544,-6.36168337,326.645447,192.034058,116.131676,16.1300144,1744.1366
714.285706,98.6770859,0.126763374,0.244397581,0.473031133,1.47E-05,0.000130326,0.000712949,62.7315292,0.413399935,0.424345016,0.001826453,0.873124242,7.82E-05,2.27E-09,0.210611612,0.001786701,0.408622891,0.019304143,0.059923571,0.189686775,0.198776841,0.004706339,0,6.73829269,2.15461111,-0.437315941,2.89299679,-6.64956522,323.349548,192.185059,116.098862,16.1210003,1749.59985
