TimeStamp,Alpha_TP9,Alpha_FP1,Alpha_FP2,Alpha_TP10,Beta_TP9,Beta_FP1,Beta_FP2,Beta_TP10,Delta_TP9,Delta_FP1,Delta_FP2,Delta_TP10,Gamma_TP9,Gamma_FP1,Gamma_FP2,Gamma_TP10,Theta_TP9,Theta_FP1,Theta_FP2,Theta_TP10,Mellow,Concentration,RAW_TP9,RAW_FP1,RAW_FP2,RAW_TP10
2016-05-26 20:39:51,-0.24593882,-0.2246978,-0.43140262,0.12853022,0.5154502,0.072127484,-0.19531883,0.5482177,-0.1189093,-0.32366607,-0.6051941,-0.022784393,0.4025939,-0.025279935,-0.051829517,0.43525502,-0.34315667,-0.7129677,-0.65716463,-0.29338628,-1.0,0.36075556,866.90466,838.94,809.3303,820.8452
2016-05-26 20:39:53,-0.24593882,-0.2182254,-0.3268238,0.12853022,0.5154502,0.0043671527,-0.16719723,0.5482177,-0.1189093,-0.4845662,-0.7248803,-0.022784393,0.4025939,-0.084991165,-0.18476056,0.43525502,-0.34315667,-0.5608744,-0.8314408,-0.29338628,-1.0,0.36075556,853.7448,829.07007,815.9103,807.68536
2016-05-26 20:39:54,-0.24593882,-0.32998568,-0.60827166,0.12853022,0.5154502,0.15822068,-0.055903144,0.5482177,-0.1189093,-0.9098075,-1.0912061,-0.022784393,0.4025939,0.0060140034,-0.29742727,0.43525502,-0.34315667,-0.6543489,-0.648839,-0.29338628,-1.0,0.36075556,853.7448,845.5199,819.2002,834.005
2016-05-26 20:39:55,-0.24593882,-0.35136953,-0.3772642,0.12853022,0.5154502,0.016950056,0.07894953,0.5482177,-0.1189093,-1.0545038,-1.0610961,-0.022784393,0.4025939,-0.07882588,-0.13950172,0.43525502,-0.34315667,-0.77010936,-0.74369985,-0.29338628,-1.0,0.36075556,845.5199,842.2299,830.7151,810.9753
2016-05-26 20:39:56,-0.24593882,-0.32231274,-0.29241806,0.12853022,0.5154502,0.06430354,0.11815555,0.5482177,-0.1189093,-1.5095065,-1.0505873,-0.022784393,0.4025939,-0.20018922,-0.005379996,0.43525502,-0.34315667,-0.630343,-0.70022464,-0.29338628,-1.0,0.36075556,865.25964,834.005,817.55524,916.254
2016-05-26 20:39:57,-0.24593882,-0.036069654,-0.37734357,0.12853022,0.5154502,0.069883116,-0.02491846,0.5482177,-0.1189093,-1.0720146,-1.127622,-0.022784393,0.4025939,-0.06700598,-0.037041973,0.43525502,-0.34315667,-0.50889665,-0.6387492,-0.29338628,-1.0,0.36075556,855.3898,834.005,817.55524,838.94
2016-05-26 20:39:58,-0.24593882,0.030507822,-0.3610356,0.12853022,0.5154502,0.008887657,-0.35864457,0.5482177,-0.1189093,-1.020304,-1.037979,-0.022784393,0.4025939,0.040788878,-0.23530206,0.43525502,-0.34315667,-0.6161085,-0.85388994,-0.29338628,-1.0,0.36075556,853.7448,837.295,820.8452,819.2002
2016-05-26 20:39:59,0.16744217,-0.18123427,-0.3430858,0.12853022,0.5851186,0.019682689,-0.23789652,0.5482177,-0.26454744,-0.9094585,-0.96397746,-0.022784393,0.35044044,-0.129701,-0.23950458,0.43525502,-0.1850154,-0.946021,-0.9223623,-0.29338628,-1.0,0.6044117,860.3247,837.295,824.13513,858.67975
2016-05-26 20:40:00,0.12374642,-0.35665554,-0.37948194,0.12853022,0.36965343,-5.441133E-4,-0.10524725,0.5482177,-0.4256276,-0.8927342,-1.0658942,-0.022784393,0.38906935,-0.15395461,-0.32079133,0.43525502,0.053661276,-0.8310992,-0.9871767,-0.29338628,-0.9580558,0.8822076,870.1946,842.2299,832.36005,838.94
2016-05-26 20:40:01,0.20316814,-0.28260297,-0.49531454,0.12853022,0.3210894,-0.12688948,-0.10742584,0.5482177,-0.25422913,-0.78560853,-1.2134067,-0.022784393,0.28885597,0.026500588,-0.31077644,0.43525502,0.16642396,-0.7788125,-0.90186024,-0.29338628,-0.93630695,1.0,852.0998,842.2299,827.4251,842.2299
